Time,xAcc,yAcc,zAcc,latitude,longitude,alt
61691285,-0.04,0,-0.18,2.5,5.6,0.51
61701291,-0.01,0,-0.19,2.5,5.6,0.51
61712022,-0.02,0,-0.18,2.5,5.6,0.5
61722025,-0.03,-0.01,-0.17,2.5,5.6,0.53
61733607,-0.02,0,-0.17,2.5,5.6,0.51
61743611,-0.01,0,-0.17,2.5,5.6,0.52
61754953,-0.01,0,-0.19,2.5,5.6,0.52
61764956,0,0.01,-0.18,2.5,5.6,0.51
61775218,-0.01,0.02,-0.17,2.5,5.6,0.51
61785947,-0.03,0.01,-0.18,2.5,5.6,0.5
61797819,-0.02,0.01,-0.15,2.5,5.6,0.52
61808939,-0.03,0,-0.15,2.5,5.6,0.5
61819126,0,0,-0.16,2.5,5.6,0.5
61829630,-0.01,0.01,-0.18,2.5,5.6,0.51
61840241,0,0,-0.17,2.5,5.6,0.51
61850243,0,0.01,-0.2,2.5,5.6,0.51
61862110,-0.02,0.01,-0.15,2.5,5.6,0.51
61872114,-0.01,0,-0.17,2.5,5.6,0.51
61882170,-0.02,0.02,-0.19,2.5,5.6,0.51
61892175,-0.04,0.03,-0.17,2.5,5.6,0.51
61902178,-0.02,0.01,-0.16,2.5,5.6,0.51
61912181,-0.03,0.01,-0.17,2.5,5.6,0.51
61922184,-0.03,0.01,-0.19,2.5,5.6,0.5
61932188,0,0.01,-0.19,2.5,5.6,0.5
61942193,0,0,-0.18,2.5,5.6,0.51
61952196,-0.01,0.01,-0.16,2.5,5.6,0.51
61962200,-0.03,0.01,-0.18,2.5,5.6,0.51
61972204,-0.03,0.02,-0.18,2.5,5.6,0.52
61982207,-0.02,0.01,-0.18,2.5,5.6,0.51
61992210,-0.03,0,-0.2,2.5,5.6,0.52
62002214,-0.01,0,-0.16,2.5,5.6,0.52
62012216,-0.02,0,-0.13,2.5,5.6,0.5
62022297,-0.01,0,-0.19,2.5,5.6,0.49
62032301,0,0,-0.2,2.5,5.6,0.51
62042305,-0.02,0.01,-0.18,2.5,5.6,0.51
62052308,-0.02,0,-0.19,2.5,5.6,0.5
62062312,-0.01,0,-0.17,2.5,5.6,0.51
