Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
86426206,0,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
86436210,0.03,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86450600,0,-0.01,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
86461624,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86472097,0.01,-0.01,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86484753,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86494756,0.01,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86504760,0.02,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86517816,0,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
86530900,0.01,-0.02,-0.16,4713.44,849.06,0.51,-10000,-10000,-14.5
86544683,0.01,-0.01,-0.16,4713.44,849.06,0.51,-10000,-10000,-14.5
86554685,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86565938,0,-0.01,-0.15,4713.44,849.06,0.5,-10000,-10000,-14.5
86576632,0,0.01,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86587392,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86600380,0.01,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
86614244,0.01,0,-0.19,4713.44,849.06,0.51,-10000,-10000,-14.5
86624249,0,-0.01,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86637998,0.02,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86654960,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86664967,0.01,-0.02,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86679069,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86689431,0,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86701536,0.03,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
86712265,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86722687,0,-0.01,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86732977,0.01,-0.01,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86744326,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86754331,0,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86764335,0.01,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86774338,0.01,0,-0.16,4713.44,849.06,0.47,-10000,-10000,-14.5
86788270,0,0.02,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86801002,0.03,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
86816582,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86827195,0.01,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86837709,-0.01,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86849995,0.02,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86862434,0.02,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
86872933,0,-0.01,-0.14,4713.44,849.06,0.5,-10000,-10000,-14.5
86884147,0.01,0,-0.16,4713.44,849.06,0.5,-10000,-10000,-14.5
86894149,0,-0.02,-0.16,4713.44,849.06,0.5,-10000,-10000,-14.5
86905038,0.03,-0.03,-0.17,4713.44,849.06,0.51,-10000,-10000,-14.5
86915040,0.02,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86927184,0.01,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86937188,0,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86951829,0.01,-0.02,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86962775,0,-0.01,-0.19,4713.44,849.06,0.51,-10000,-10000,-14.5
86973471,0,-0.01,-0.17,4713.44,849.06,0.51,-10000,-10000,-14.5
86985807,0.01,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86995809,0.02,-0.01,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
87008142,0.01,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
87020409,0.01,-0.02,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
87037103,0.01,0,-0.18,4713.44,849.06,0.48,-10000,-10000,-14.5
87052478,0.02,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87067517,0,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
87078486,0,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87088494,0,-0.02,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87100943,0,-0.02,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87112983,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87123790,-0.01,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87137163,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87147686,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87163130,0,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87173725,0,0,-0.17,4713.44,849.06,0.51,-10000,-10000,-14.5
87188608,0.01,-0.01,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87205274,0.01,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87216396,0.01,-0.01,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87226398,0,-0.01,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87239645,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87252208,0.04,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
87264399,0,-0.01,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
87274622,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87285897,0.02,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
