Time,xAcc,yAcc,zAcc,latitude,longitude,alt
103381371,0.02,0,-0.16,2.5,5.6,0.5
103391374,0.03,0,-0.19,2.5,5.6,0.49
103401377,0.03,0,-0.2,2.5,5.6,0.5
103411380,0.03,0,-0.18,2.5,5.6,0.5
103421617,0.02,0,-0.16,2.5,5.6,0.5
103431620,0.03,0,-0.18,2.5,5.6,0.51
103441625,0.02,0,-0.16,2.5,5.6,0.5
103451628,0.03,-0.01,-0.19,2.5,5.6,0.5
103461631,0.03,0,-0.19,2.5,5.6,0.51
103471636,0.03,0,-0.16,2.5,5.6,0.49
103481638,0.03,-0.03,-0.15,2.5,5.6,0.49
103491641,0.03,-0.01,-0.17,2.5,5.6,0.48
103501794,0.03,0,-0.19,2.5,5.6,0.49
103511799,0.04,0,-0.19,2.5,5.6,0.51
103522333,0.03,0,-0.19,2.5,5.6,0.51
103532336,0.01,0,-0.16,2.5,5.6,0.5
103543259,0.02,0,-0.18,2.5,5.6,0.49
103553262,0.03,0,-0.2,2.5,5.6,0.49
103563895,0.02,0,-0.17,2.5,5.6,0.49
103574276,0.04,-0.01,-0.18,2.5,5.6,0.51
103585516,0.02,-0.01,-0.17,2.5,5.6,0.5
103597479,0.03,-0.01,-0.19,2.5,5.6,0.49
103611673,0.01,0,-0.18,2.5,5.6,0.5
103621677,0.03,0,-0.16,2.5,5.6,0.5
103632694,0.01,0,-0.13,2.5,5.6,0.51
103642698,0.02,-0.01,-0.19,2.5,5.6,0.5
103654427,0.02,0,-0.2,2.5,5.6,0.5
103665187,0.04,0,-0.17,2.5,5.6,0.49
103677500,0.02,0,-0.18,2.5,5.6,0.5
103688051,0.02,-0.01,-0.15,2.5,5.6,0.48
103698986,0.05,-0.01,-0.19,2.5,5.6,0.5
103708991,0.02,0.01,-0.16,2.5,5.6,0.5
103719887,0.02,0,-0.18,2.5,5.6,0.48
103729890,0.03,0,-0.14,2.5,5.6,0.49
103739912,0.01,0,-0.17,2.5,5.6,0.51
103749914,0.02,-0.01,-0.17,2.5,5.6,0.5
103761685,0.03,0,-0.17,2.5,5.6,0.49
103771689,0.04,0,-0.18,2.5,5.6,0.49
103782164,0.04,0.01,-0.18,2.5,5.6,0.51
103792167,0.01,0,-0.19,2.5,5.6,0.49
103802390,0.03,-0.01,-0.16,2.5,5.6,0.49
103812394,0.02,-0.03,-0.18,2.5,5.6,0.49
103822399,0.04,0,-0.14,2.5,5.6,0.5
103832401,0.04,-0.02,-0.18,2.5,5.6,0.49
103842405,0.01,0,-0.14,2.5,5.6,0.5
103852408,0.03,0,-0.2,2.5,5.6,0.5
103862411,0.04,-0.01,-0.18,2.5,5.6,0.49
103872416,0.02,0,-0.17,2.5,5.6,0.5
103883336,0.01,0,-0.15,2.5,5.6,0.49
103893339,0.04,0,-0.18,2.5,5.6,0.48
103905848,0.03,0,-0.2,2.5,5.6,0.5
103917777,0.03,0,-0.17,2.5,5.6,0.49
103932406,0.03,-0.01,-0.19,2.5,5.6,0.51
103942408,0.02,-0.01,-0.18,2.5,5.6,0.49
103955280,0.03,0,-0.19,2.5,5.6,0.49
103966136,0.04,-0.02,-0.17,2.5,5.6,0.51
103982397,0.02,0,-0.16,2.5,5.6,0.5
103994949,0.02,0.01,-0.15,2.5,5.6,0.49
104005304,0.03,0,-0.16,2.5,5.6,0.49
104018962,0.04,0,-0.2,2.5,5.6,0.5
104029761,0.04,0,-0.18,2.5,5.6,0.5
104041389,0.03,0,-0.18,2.03,5.6,0.49
104051391,0.05,0,-0.19,2.03,5.6,0.5
104061395,0.02,0.01,-0.19,2.03,5.6,0.5
104071398,0.02,0,-0.17,2.03,5.6,0.5
104081400,0.03,0,-0.15,2.03,5.6,0.5
104091625,0.01,-0.01,-0.18,2.03,5.6,0.5
104101629,0.05,0,-0.19,2.03,5.6,0.5
104111871,0.04,0,-0.18,2.03,5.6,0.48
104121875,0.02,0,-0.16,2.03,5.6,0.5
104131879,0.01,0,-0.15,2.03,5.6,0.5
104143121,0.02,-0.02,-0.15,2.03,5.6,0.5
104153123,0.01,0,-0.2,2.03,5.6,0.49
104163197,0.04,0,-0.19,2.03,5.6,0.49
104173200,0.03,0,-0.18,2.03,5.6,0.51
104183203,0.02,-0.01,-0.19,2.03,5.6,0.5
104193208,0.02,-0.01,-0.18,2.03,5.6,0.49
104205387,0.03,-0.01,-0.19,2.03,5.6,0.5
104215390,0.02,0.01,-0.18,2.03,5.6,0.48
104229981,0.03,-0.01,-0.18,2.03,5.6,0.51
104244855,0.02,-0.01,-0.17,2.03,5.6,0.49
104255514,0.02,-0.01,-0.18,2.03,5.6,0.49
104265526,0.02,-0.01,-0.17,2.03,5.6,0.49
104277390,0.04,0,-0.17,2.03,5.6,0.51
104287393,0.03,0.01,-0.16,2.03,5.6,0.51
104302410,0.02,0,-0.21,2.03,5.6,0.5
104312414,0.04,0,-0.19,2.03,5.6,0.5
104325129,0.03,0,-0.2,2.03,5.6,0.5
104335132,0.03,-0.01,-0.2,2.03,5.6,0.51
104347120,0.04,-0.01,-0.16,2.03,5.6,0.49
104358883,0.05,0,-0.2,2.03,5.6,0.5
104372211,0.05,-0.01,-0.17,2.03,5.6,0.5
104382214,0.04,-0.01,-0.18,2.03,5.6,0.5
104393856,0.02,-0.01,-0.17,2.03,5.6,0.49
104403859,0.04,0,-0.17,2.03,5.6,0.49
104413965,0.03,0,-0.19,2.03,5.6,0.5
104423968,0.03,-0.01,-0.17,2.03,5.6,0.5
104434056,0.02,-0.01,-0.16,2.03,5.6,0.49
104444059,0.03,-0.01,-0.17,2.03,5.6,0.5
104456008,0.03,0,-0.19,2.03,5.6,0.5
104466012,0.03,-0.01,-0.19,2.03,5.6,0.49
104479220,0.03,0,-0.16,2.03,5.6,0.49
104489618,0.04,-0.02,-0.17,2.03,5.6,0.49
104504065,0.05,0,-0.18,2.03,5.6,0.51
104514070,0.03,-0.01,-0.18,2.03,5.6,0.49
104526898,0.04,0,-0.17,2.03,5.6,0.5
104536901,0.04,0.01,-0.16,2.03,5.6,0.48
104550572,0.04,-0.01,-0.17,2.03,5.6,0.48
104561383,0.03,-0.01,-0.16,2.03,5.6,0.49
104572906,0.03,0,-0.16,2.03,5.6,0.5
104582909,0.02,-0.01,-0.17,2.03,5.6,0.5
104593986,0.04,-0.01,-0.15,2.03,5.6,0.49
104603989,0.04,-0.01,-0.19,2.03,5.6,0.51
104616862,0.02,0,-0.15,2.03,5.6,0.49
104627035,0.03,0,-0.15,2.03,5.6,0.5
104639000,0.03,-0.01,-0.18,2.03,5.6,0.5
104650342,0.04,-0.01,-0.18,2.03,5.6,0.48
104665459,0.03,0,-0.18,2.03,5.6,0.5
104678379,0.05,-0.01,-0.17,2.03,5.6,0.51
104690131,0.02,0,-0.19,2.03,5.6,0.49
104701105,0.03,-0.01,-0.18,2.03,5.6,0.49
104712207,0.05,0,-0.18,2.03,5.6,0.5
104722351,0.04,0,-0.17,2.03,5.6,0.5
104735478,0.03,-0.01,-0.19,2.03,5.6,0.49
104745481,0.02,-0.01,-0.18,2.03,5.6,0.49
104755769,0.03,0,-0.19,2.03,5.6,0.49
104765773,0.03,-0.01,-0.17,2.03,5.6,0.48
104776177,0.03,-0.01,-0.18,2.03,5.6,0.49
104786180,0.02,0,-0.16,2.03,5.6,0.49
104796183,0.04,0,-0.19,2.03,5.6,0.48
104806187,0.02,0,-0.17,2.03,5.6,0.48
104819206,0.02,0,-0.17,2.03,5.6,0.51
104834637,0.03,0,-0.19,2.03,5.6,0.5
104844641,0.02,0,-0.19,2.03,5.6,0.49
104855938,0.03,0,-0.19,2.03,5.6,0.5
104865942,0.02,0,-0.16,2.03,5.6,0.5
104875945,0.03,0,-0.19,2.03,5.6,0.5
104885947,0.04,0,-0.17,2.03,5.6,0.49
104899179,0.04,0,-0.16,2.03,5.6,0.49
104914486,0.04,0,-0.21,2.03,5.6,0.48
104924489,0.04,0,-0.17,2.03,5.6,0.48
104936498,0.03,-0.01,-0.18,2.03,5.6,0.48
104946501,0.03,0,-0.18,2.03,5.6,0.5
104957774,0.03,0,-0.18,2.03,5.6,0.51
104967964,0.04,-0.01,-0.19,2.03,5.6,0.49
104981365,0.03,-0.01,-0.16,2.03,5.6,0.5
104991878,0.04,-0.02,-0.19,2.03,5.6,0.49
105003604,0.03,0,-0.18,2.03,5.6,0.5
105013607,0.05,0,-0.17,2.03,5.6,0.5
105025229,0.03,0,-0.18,2.03,5.6,0.49
105035232,0.03,0,-0.17,2.03,5.6,0.51
105045236,0.03,0,-0.17,2.03,5.6,0.49
105055239,0.02,0,-0.21,2.03,5.6,0.5
105066060,0.02,0,-0.18,2.03,5.6,0.49
105076064,0.03,-0.01,-0.16,2.03,5.6,0.5
105089295,0.02,0.01,-0.16,2.03,5.6,0.5
105102848,0.04,0,-0.19,2.03,5.6,0.49
105113217,0.04,0,-0.18,2.03,5.6,0.51
105124326,0.04,0.01,-0.16,2.03,5.6,0.51
105134331,0.02,-0.01,-0.15,2.03,5.6,0.49
105144335,0.02,0,-0.15,2.03,5.6,0.49
105156360,0.02,-0.01,-0.19,2.03,5.6,0.48
105166365,0.03,-0.01,-0.19,2.03,5.6,0.5
105177267,0.03,0,-0.17,2.03,5.6,0.49
105187271,0.02,-0.02,-0.16,2.03,5.6,0.5
105200530,0.04,-0.01,-0.17,2.03,5.6,0.49
105214179,0.02,0,-0.19,2.03,5.6,0.49
